MO NDVI TWI Tmed LS_Factor PPmed EPTmed Pendiente Altura LC_Bosques LC_CultivosAnuales x y
4.17 0.418 15.999415397644 24.5441741943359 0.155404046177864 882.133666992188 283.427777777778 2.31500637531281 458.274169921875 0 0 4393504.03211137 6720564.24829953
4.1 0.4914 18.3113994598389 23.8999996185303 0.0073960404843092 1152 350.527777777778 0.115859672427177 107.485233306885 0 0.794 4563012.63980749 6574073.84838583
4.1 0.55894 14.8533849716187 22.0461673736572 0.156974822282791 996 479.716666666667 3.1111444234848 632.091094970703 0.1336 0 4397653.81499081 6637028.63187565
4.06 0.56165 14.4344711303711 21.3187351226807 0.342644035816193 1128 579.411111111111 3.79415202140808 861.665435791016 0.3072 0.0276 4338070.44649846 6377196.81471545
3.98 0.4172 18.2575645446777 23.2000007629395 0.000482700299471617 1236.96081542969 483.666666666667 0.1105787307024 113.614574432373 0 0.946 4562150.77980874 6417693.81574533
3.86 0.392557142857143 18.3545875549316 23.2999992370605 0.00418533384799957 1179.66638183594 405.461111111111 0.16436992585659 124.092071533203 0 1 4537119.39684839 6462518.02828308
3.81 0.51644 14.2861328125 23.1000003814697 1.11512792110443 1008 376.311111111111 3.89901840686798 621.734252929688 0 0 4429531.12860275 6713747.71945745
3.81 0.3985 17.7675457000732 23 0.0242594666779041 1249.51049804688 468.338888888889 0.285984963178635 114.374366760254 0 0.9556 4562531.21266922 6397522.04805859
3.78 0.430466666666667 18.6617221832275 23 0.00356298591941595 1201.83239746094 323.205555555556 0.204090267419815 198.603073120117 0 0.37 4481344.32035496 6455017.93069062
3.74 0.6586 11.3474264144897 21.0931053161621 2.37160110473633 1128 568.188888888889 9.19279670715332 851.907592773438 0.6964 0 4358435.2448137 6480191.74553405
3.72 0.3914 16.9190673828125 21.5188159942627 0.301633983850479 1212 432 1.34722638130188 533.944458007813 0 0.4972 4391713.8073299 6559215.14950402
3.69 0.53898 17.9494895935059 22.8999996185303 0.0181292872875929 1331.78576660156 405.216666666667 0.370196312665939 128.578964233398 0 0.3612 4515667.20803212 6260130.02153328
3.66 0.43355 18.5672779083252 23.2000007629395 2.13089497265173e-05 1200 354.211111111111 0.275247007608414 131.228057861328 0 0.99 4532257.93214935 6442731.34739427
3.64 0.5224 9.32827377319336 21.2149620056152 1.55349767208099 972 468.627777777778 25.1150379180908 973.334533691406 0.3908 0 4376990.83088953 6636814.62642621
3.6 0.4684 16.1035404205322 21.6774921417236 0.301360607147217 1177.2119140625 500.783333333333 2.0063145160675 641.855041503906 0 0.0684 4363517.29748657 6516097.28998504
3.59 0.424433333333333 17.9894847869873 25.4857654571533 0.202389493584633 804 236.277777777778 2.56106388568878 358.141876220703 0 0 4362017.30434739 6681834.45268312
3.58 0.3945 17.0033092498779 23.2000007629395 0.0520632937550545 947.879089355469 328.622222222222 2.04561996459961 651.0185546875 0 0 4409610.07832182 6717302.95340257
3.58 0.478544444444444 18.5595798492432 24.1000003814697 0.0130981169641018 1140 328.477777777778 0.247420117259026 92.0385437011719 0 0.332 4498859.00563916 6583522.69979489
3.49 0.363366666666667 18.174768447876 22.8999996185303 0.0282547194510698 1284 506.527777777778 0.238336525857449 117.150566101074 0 1 4545180.94235605 6335433.17766697
3.49 0.59615 18.5528831481934 24.6000003814697 0.0741914734244347 1058.51806640625 524.161111111111 0.482858568429947 127.247055053711 0.4936 0.0384 4454612.21807377 6651619.84889815
3.48 0.414425 18.249942779541 25.1000003814697 0.0185480434447527 1048.55090332031 264.711111111111 0.271338954567909 79.8776931762695 0 0.1904 4470460.49326632 6685632.4476055
3.41 0.52265 13.7537488937378 23.6763973236084 0.455707103013992 835.7119140625 379.638888888889 5.59764575958252 609.938842773438 0.0184 0 4302429.45336228 6573621.16524212
3.36 0.355318181818182 18.7862358093262 22.8999996185303 0.023780882358551 1216.94201660156 395.111111111111 0.285111770033836 325.56965637207 0 0.7732 4419384.51741067 6497499.92163245
3.35 0.475275 19.0937252044678 24 0.000964917126111686 1128 354.572222222222 0.152941070497036 81.9526824951172 0 0 4540148.54096116 6572989.52413611
3.34 0.54875 18.0909748077393 24.8999996185303 8.54917161632329e-05 1064.37438964844 396.638888888889 0.45409631729126 82.0744857788086 0.2672 0 4467080.59504289 6666535.07457779
3.31 0.497 17.3992652893066 22.7999992370605 0.0826722458004951 1332 444.944444444444 0.447923108935356 126.214252471924 0 0.6904 4521372.62586994 6242676.03484812
3.3 0.36038 17.4905700683594 22.8999996185303 0.0282740890979767 1344 474.044444444444 0.39736744761467 131.303611755371 0 0.9292 4502251.29639993 6229268.2211123
3.28 0.590575 9.89617347717285 20.1970844268799 1.81326162815094 1069.54772949219 564.611111111111 13.1412286758423 905.253845214844 0.31 0 4357403.36744635 6556658.50853177
3.26 0.354455555555556 16.2523918151855 22.2999992370605 0.241838917136192 1176 416.494444444445 1.85500752925873 557.167877197266 0 0.8356 4373249.49462389 6454695.73933672
3.26 0.462983333333333 18.007791519165 23.5 0.00150097080040723 1212 391.122222222222 0.598623335361481 129.573440551758 0 0.5344 4448384.38149721 6146354.22808805
