x	y	RindeSoja	Elevacion	CEa30	CEa90	RindeMaiz	NDVI_1	NDVI_2	NDVI_3
509851.469	6290584.516	1.59579	138.165	48.2418	42.0311	1.79334	0.292683	0.472489	0.115385
509871.469	6290584.516	1.27948	138.323	47.7923	44.6661	1.10042	0.317073	0.487887	0.125
509891.469	6290584.516	1.07493	138.573	48.2903	46.1269	1.21028	0.317073	0.487887	0.121951
509291.469	6290564.516	4.17629	138.177	53.8261	47.2756	1.90773	0.391304	0.434536	0.133641
509311.469	6290564.516	4.46518	138.123	50.2701	45.2678	2.08565	0.386364	0.459272	0.129187
509331.469	6290564.516	4.53365	138.153	49.8084	45.2817	2.1702	0.355556	0.447974	0.126214
509351.469	6290564.516	4.42903	138.174	46.8102	44.3755	1.28795	0.355556	0.447974	0.135922
509371.469	6290564.516	4.30503	138.189	47.9352	44.6532	2.23733	0.340659	0.440503	0.135922
509391.469	6290564.516	4.00163	138.134	54.5862	47.7275	1.78735	0.347826	0.447833	0.131707
509411.469	6290564.516	3.63675	138.049	55.4748	48.974	1.51746	0.347826	0.447833	0.131707
509431.469	6290564.516	3.55789	137.998	55.0718	48.1083	1.09317	0.356322	0.490844	0.130435
509451.469	6290564.516	3.26349	138.009	53.1961	49.0803	1.04258	0.364706	0.46738	0.130435
509471.469	6290564.516	2.92285	138.046	52.7656	48.0363	0.975077	0.364706	0.46738	0.109005
509491.469	6290564.516	1.76785	138.134	50.7585	46.6151	1.83179	0.348315	0.428142	0.093458
509511.469	6290564.516	1.60715	138.363	46.9904	44.5186	2.40449	0.303371	0.410359	0.135922
509531.469	6290564.516	1.28461	138.653	46.202	42.9433	2.06844	0.303371	0.410359	0.140097
509551.469	6290564.516	1.01921	138.908	45.4887	42.8399	1.79069	0.280899	0.400102	0.134615
509571.469	6290564.516	1.04365	138.766	44.7432	40.6635	2.27361	0.333333	0.401573	0.130435
509591.469	6290564.516	1.40408	138.286	45.6611	41.2795	3.36461	0.333333	0.401573	0.125
509611.469	6290564.516	2.79555	137.607	49.0272	46.0371	3.96902	0.445545	0.434814	0.129187
