"VUT" "x" "y" "d_bpriv" "d_centro" "d_educ" "d_espverd" "d_ffcc" "d_supcom" "d_indust" "d_ruta" "d_viasprin" "d_viassec" "d_depre" "d_front" "g_comercio" "g_por_bald" "g_porc_edi"
"15" 1169 4584233.16999999 6524820.058 327.77778 2228.66739 861.05208 334.80907 1366.44146 1371.99408999999 2398.81818 672.55825 1354.95386 612.669419999999 2221.25379999999 4938.94034 0 0.7729 0.04186
"16" 1278 4584254.298 6524656.41899999 184.9163 2106.33876999999 703.121579999999 178.33769 1220.37602999999 1211.39753999999 2242.33514999999 722.741229999999 1198.5942 559.85044 2056.42567999999 4872.11933 0 0.71552 0.04744
"17" 2500 4585559.296 6523786.377 1526.42271 563.71303 357.072969999999 559.26485 1239.96828 1255.52025 1870.25963999999 2165.15925999999 408.975369999999 35.22634 1594.60638999999 3373.59967 5 0.14885 0.54878
"18" 3593 4585589.33499999 6523717.09399999 1570.31717 490.29678 342.89409 497.179289999999 1267.52363999999 1265.21509999999 1837.52731999999 2207.89472999999 365.61624 97.3400299999999 1548.00552999999 3325.08599 3 0.14918 0.5673
"19" 3650 4584681.55499999 6523838.19799999 657.318499999999 1311.66869999999 46.5705999999999 439.63377 894.31479 538.770279999999 1522.21154 1293.88082 479.70677 19.01445 1258.59504999999 4230.9516 2 0.47465 0.24785
"20" 2027 4585224.921 6523630.73199999 1232.10146 730.597849999999 73.5635 340.178969999999 1220.54479999999 890.794279999999 1544.58681999999 1867.21004999999 384.772499999999 252.95527 1301.59837999999 3651.72503999999 2 0.33912 0.41669
"21" 1296 4585085.20799999 6525925.01699999 11.25695 2716.67286999999 1684.57982999999 109.829949999999 357.337249999999 2623.01213999999 3647.52021999999 1312.22081 1728.61913 5.22277 3383.9787 4435.93253 0 0.345 0.14068
"22" 1542 4585336.52699999 6524554.61 997.830069999999 1343.74652999999 479.382529999999 85.2533999999999 849.93119 1507.37985 2410.58815 1805.65276999999 776.93106 274.75797 2152.09706999999 3805.65625 1 0.2881 0.34755
"23" 1132 4585241.59499999 6525737.91799999 200.422179999999 2493.3728 1450.69959999999 23.88088 291.18243 2494.32713 3500.35197 1499.67701 1484.81432999999 198.841859999999 3236.77770999999 4231.06409999999 0 0.42233 0.13075
"24" 889 4585271.35199999 6525633.086 249.604919999999 2384.40916 1342.43536999999 131.816789999999 306.91759 2407.54784 3406.81665 1547.78404 1385.03251 248.964499999999 3143.39604999999 4172.00813 0 0.43073 0.1349
"25" 1273 4585036.49199999 6524671.91399999 819.53628 1590.38866 801.438449999999 205.400119999999 991.531029999999 1436.08085 2418.02422999999 1489.42516 1094.43582999999 204.105739999999 2154.7889 4126.66478 0 0.46833 0.25964
"26" 1855 4584921.331 6524499.99199999 769.61139 1519.13618999999 595.33226 230.051369999999 1189.0669 1230.42294999999 2221.67057 1407.02374 1173.27133 124.90783 1958.10509 4188.14508 0 0.51136 0.24262
"27" 1855 4584909.11899999 6524503.899 757.396479999999 1529.95400999999 591.223259999999 242.77937 1196.12593999999 1228.43584 2222.41071999999 1394.30879 1177.62854999999 112.166939999999 1958.806 4200.9637 0 0.51136 0.24262
"28" 1195 4584868.324 6524882.949 615.77137 1858.94831999999 911.023149999999 475.1075 1006.39865999999 1563.43804 2583.14346999999 1286.07913 1305.16296 2.19452 2319.62613 4347.179 0 0.62813 0.19074
"29" 1241 4584819.031 6524592.455 673.33532 1655.72898 622.901839999999 348.601249999999 1210.72538 1273.45452999999 2288.64127 1289.77719 1246.19144 6.45738 2025.09260999999 4312.53016999999 0 0.61462 0.19708
"30" 1091 4584855.54499999 6524565.75999999 706.65372 1611.77808 615.17619 307.025449999999 1199.03701 1262.33604999999 2270.15767 1330.49324 1227.41084999999 47.49895 2006.50781 4269.92828999999 0 0.52439 0.23813
"31" 1239 4584766.65799999 6524393.625 624.50913 1547.32516 421.49714 385.626149999999 1302.81979 1069.27311 2083.38684 1273.97733999999 1040.94461 5.89297 1819.89093 4306.18144 0 0.56395 0.23141
"32" 1702 4585110.461 6523481.41199999 1151.4833 794.711999999999 166.394299999999 171.68636 1043.10803 750.86908 1356.84049 1783.95669999999 215.788589999999 421.685229999999 1113.47024 3721.39591 0 0.29738 0.4023
"33" 2726 4584659.60099999 6523489.644 708.913369999999 1236.69860999999 185.82998 93.3354999999999 671.343219999999 308.29239 1177.97387 1340.09516 133.89026 65.5625699999999 914.431649999999 4156.84072 0 0.37093 0.30293
"34" 3481 4584635.44699999 6523593.39199999 663.548829999999 1282.70157999999 93.4051199999999 190.52905 713.210339999999 331.71273 1273.19937 1296.23568999999 230.63227 21.6584 1009.56029999999 4208.97080999999 0 0.38462 0.30089
"35" 963 4585072.39199999 6525572.76599999 65.7788199999999 2386.93143999999 1378.97828 244.85049 513.143069999999 2282.39222 3300.22749999999 1362.89779999999 1480.24282999999 65.8721299999999 3036.58415 4344.70358 0 0.434 0.13739
"36" 2794 4584870.791 6523428.03299999 928.32649 1017.18434 381.00769 73.3523399999999 813.25714 507.72199 1192.27047999999 1559.23316999999 116.03771 284.709479999999 936.1742 3936.85107 0 0.29016 0.3415
"37" 1190 4585030.23599999 6525658.91199999 7.98409 2482.331 1474.51702 220.50771 516.366049999999 2352.13918999999 3375.79858 1305.9509 1569.96732999999 7.77322 3112.26054 4410.16527 0 0.38725 0.14358
"38" 1276 4585053.256 6525760.52199999 11.22667 2570.28137999999 1551.5079 169.990289999999 453.790129999999 2456.11625999999 3479.95566 1310.34203 1625.62591999999 9.82363999999999 3216.41143999999 4417.80044999999 0 0.39262 0.13782
"39" 1263 4585127.53399999 6525640.34999999 107.03627 2432.66064999999 1410.51464 157.654889999999 435.17725 2363.96709999999 3378.33183999999 1405.00051 1487.53990999999 106.82338 3114.66796 4311.68587999999 0 0.41643 0.13674
"40" 1064 4585085.036 6525402.32799999 129.844529999999 2222.98298 1229.19895999999 388.7284 571.335029999999 2125.29797999999 3136.89836 1405.95562999999 1356.78888 109.190989999999 2873.23639999999 4282.87348 0 0.47788 0.14392
"41" 1191 4585009.37399999 6525414.875 77.83964 2263.07004999999 1283.94869999999 376.001629999999 635.24192 2112.76575999999 3132.58921999999 1329.27105 1423.38193 32.49765 2868.98738 4358.92645999999 0 0.45647 0.14296
"42" 1345 4585056.887 6524733.17599999 759.924849999999 1631.86719999999 806.126399999999 248.75851 937.21658 1499.79619999999 2482.54505 1498.48202999999 1087.02206 212.08626 2219.32439 4124.33921999999 0 0.46977 0.25626
"43" 3804 4586664.70399999 6524522.99399999 1750.60062999999 1321.16415 370.66658 126.171679999999 62.6647099999999 2559.03729 3166.4852 3117.89903 14.65283 30.90596 2831.00619999999 2521.34196 9 0.09465 0.49019
"44" 4545 4586839.423 6524491.338 1676.8803 1324.45652999999 520.89837 118.19325 161.729029999999 2704.32465 3274.96774 3295.46286999999 12.45006 208.455109999999 2924.44133999999 2344.17309999999 13 0.07857 0.48469
"45" 4478 4586858.262 6524486.866 1670.76819999999 1323.77366 537.812249999999 132.013849999999 171.651199999999 2719.79662 3286.33518999999 3314.79822 13.30011 227.80088 2934.21601999999 2324.81275999999 13 0.09082 0.47761
"46" 3046 4587143.484 6524431.44199999 1592.72394 1325.47415999999 808.663829999999 212.228489999999 332.051049999999 2963.88556 3474.45343 3605.33755999999 11.57643 131.468189999999 3101.40907 2034.67897999999 9 0.11882 0.45691
"47" 3156 4586246.64499999 6524493.45399999 1604.39894 1210.05427 174.838079999999 361.85246 254.001489999999 2175.82927 2854.49461999999 2711.94948 112.66615 127.179239999999 2554.54217999999 2914.91773 2 0.09779 0.51648
"48" 2997 4587102.747 6524073.127 1943.15199 966.140599999999 455.194219999999 62.633 54.00507 2819.80679 3237.83921 3629.63589 101.79747 152.189619999999 2843.0542 1975.44112999999 7 0.03823 0.52377
"49" 2894 4586457.417 6524194.73599999 1957.85281 958.575389999999 191.260819999999 507.818499999999 317.20656 2238.36617999999 2792.11475999999 2972.95812999999 377.152339999999 109.39937 2447.40974999999 2628.70316 3 0.04286 0.56005
"50" 1936 4586758.37 6523991.724 2152.2881 818.65652 515.27646 385.585019999999 251.413039999999 2465.952 2905.20931999999 3305.48673999999 423.97424 4.71414 2522.46646 2282.42167999999 1 0.02831 0.56106
"51" 3332 4586140.957 6524065.109 1832.15481999999 769.2928 343.33179 417.17556 631.20708 1896.53706 2471.44671 2684.93517999999 107.759889999999 45.20812 2145.04779999999 2895.20028 4 0.05101 0.58541
"53" 4762 4586200.41799999 6523867.911 2024.39499 587.622759999999 497.181379999999 611.240409999999 730.696329999999 1894.61799999999 2384.46289999999 2778.90378999999 204.892609999999 169.690809999999 2032.64337 2782.12618 2 0.02632 0.61552
"54" 4472 4586562.00299999 6523641.56699999 2426.99521 436.74108 324.616319999999 460.25157 635.41596 2211.21221 2551.54192 3177.05335 541.980639999999 18.3304499999999 2151.66244 2371.08478999999 15 0.01314 0.70073
"55" 3170 4586011.22699999 6523565.786 2014.55268999999 254.21259 331.51566 438.99684 1079.21548 1655.55311 2049.32434 2651.14292999999 77.9916199999999 163.586109999999 1683.38124999999 2877.57897999999 13 0.03465 0.68506
"56" 4993 4586638.19 6523294.23799999 2684.50696999999 111.153379999999 71.27804 309.82756 823.48558 2277.121 2464.73534 3318.9297 216.12737 242.59011 2034.10383999999 2200.12851 22 0.04976 0.92923
"57" 9308 4586977.053 6523068.587 2941.68116999999 0 39.17499 74.9118699999999 740.421109999999 2634.71003 2712.47449 3695.19039999999 30.0441399999999 469.14391 2261.54062 1812.83477999999 60 0.07056 1.0604
"58" 3550 4586036.62799999 6523274.337 2100.47969999999 0 142.10978 208.1655 1115.88886 1677.90553999999 1913.23210999999 2732.70845999999 79.50852 343.48286 1510.8858 2773.79750999999 12 0.02766 0.68866
"59" 903 4587494.927 6525461.63999999 508.20508 2404.64508999999 1606.698 477.08645 1313.69125 3747.25520999999 4415.95233999999 3765.98190999999 1067.46830999999 139.741579999999 4084.00376 2023.63501999999 0 0.61981 0.09983
"60" 1726 4587407.77199999 6525472.269 545.28098 2397.94164 1552.90166999999 561.778209999999 1259.49755 3680.70366999999 4362.14407 3678.33494999999 1061.09425 227.241279999999 4035.75104999999 2106.539 0 0.63694 0.09563
"61" 1288 4587290.73099999 6525142.22699999 886.46019 2051.33559999999 1241.02035999999 493.88028 943.038009999999 3404.68440999999 4046.83795999999 3622.49247999999 714.28129 274.90582 3709.18582999999 2097.28569999999 0 0.68694 0.09658
"62" 1208 4587308.21499999 6525036.48099999 972.01899 1951.08711999999 1190.09809999999 422.93308 879.38801 3367.18352 3987.51616 3658.68924999999 614.28683 236.33715 3642.73428999999 2049.70287 0 0.61529 0.13651
