g_gas	g_agua	g_cloaca	g_perc_baldio	g_comercio	g_sellos	g_perc_edif	d_bpriv	d_centro	d_educ	d_espverd	d_ffcc	d_supcom	d_indust	d_ruta	d_viasprin	d_viassec	d_depre	d_front	x	y	g_vial	d_sube	cod_baja	d_baja
1	1	1	0,17380952381	2	0,00398	0,429806349206	1506,20735291999	1496,98813163999	640,748536398	63,6587665497999	321,585839104999	2828,71534027	3429,1236342	3325,9084025	159,84225168	236,216640906999	3085,87496840999	2330,13611062	4586900,28019	6524655,10393999	1	1496,98813163999	d_bpopu	1489,97282716604
1	1	1	0,0579518072289	2	0,01006	0,510615662651	1866,80590114	1149,6155188	392,695642134	264,955052951	25,5914194865	2544,85001572999	3091,53502462999	3217,93013404	186,642639997999	132,987181958999	2736,92138628	2404,53079556	4586731,97482999	6524334,55320999	1	1149,6155188	d_bpopu	1445,41271984064
1	1	1	0,0733766233766	8	0,00825	0,509109090909	1832,22941242999	1245,20506954	300,989833621	204,871299622	17,682291708	2489,12761262	3086,94905241	3086,12068765999	90,4801581356	2,2865756309E-5	2749,8440645	2545,60895286	4586619,89173	6524454,5049	1	1245,20506954	d_bpopu	1601,31173118452
0	0,323036844879	0	0,659166666667	0	0	0,0587833333333	2398,31827367999	6460,72981628999	37,5360721305	216,073344627	1980,12785718	6570,97504372	7599,29834384999	2720,05303566	5191,95146988	411,987421697	7335,71857756	6243,35475694999	4585902,99565999	6529791,32562999	0	6460,72981628999	d_front	6243,3547100818
0	0,823036844879	0	0,635	0	0	0,0679	2443,38400213	6494,77223193	108,618527087	261,715172683999	2051,09432039	6618,54897186	7645,12349316	2787,00125423	5221,64377005	467,418385489	7381,50232702999	6237,82875417	4585965,62779	6529824,95069	0	6494,77223193	d_front	6237,82875827868
0	0,646073689758	0	0,658518518519	0	0	0,0682222222222	2491,51036711999	6551,73210285999	121,638999812999	309,273227455999	2037,05354772999	6664,19603920999	7692,51309934999	2801,8622838	5281,34330311	504,606878805	7428,93180904	6308,7521771	4585923,56503999	6529882,25820999	0	6551,73210285999	d_front	6308,75218853212
0	0,823036844879	0	0,66	0	0	0,0635272727273	2446,44463867	6518,09573291	76,3022929564999	264,037368943999	1966,08708451	6617,05723132	7647,0644628	2735,53647471	5252,12323835999	455,298596562999	7383,53799271	6314,32815968999	4585860,93290999	6529848,63315999	0	6518,09573291	d_front	6314,32820458986
0	1	0	0,297301587302	2	0,01292	0,299065079365	4098,38493613999	1243,17206985999	383,076088313	317,759272978	57,96918515	4285,96586647999	4034,87750193	5316,66298032	823,857503515999	47,7966579766	3583,07419872999	108,102467355	4588330,82191	6521625,69586999	1	1243,17206985999	d_front	108,102483281768
0	1	0	0,300289855072	3	0,01357	0,295413043478	4143,70111902	1214,46861054	442,868926708	224,888033654999	104,419413375	4208,33507001999	3948,38217239	5230,76487810999	892,310814763	2,4733017378E-5	3498,01860089	190,291684231	4588237,16277999	6521595,77376999	1	1214,46861054	d_front	190,291672243996
0	1	0	0,294657534247	3	0,01377	0,307061643836	4102,75925390999	1167,27117290999	411,034084479999	245,119116826999	63,7720879737	4176,38657584999	3922,88032869	5204,77795197999	862,131622816	40,5667109274	3471,28159581999	219,157592819	4588219,70108999	6521640,65271	1	1167,27117290999	d_front	219,157581112116
0	0,905622066492	0	0,308028169014	8	0,0131	0,293314084507	4142,87535543	1166,82981083	464,442681212	189,905861668	104,143336461999	4138,92582361	3878,06349352	5160,44462855999	915,716395606999	2,4630062305E-5	3427,71982134	260,427005930999	4588168,22797999	6521609,66371999	0,73368292942	1166,82981083	d_bpopu	205,216094088273
